mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
1.024,0.825,1.000,0.850,0.5,0,0.0,0.0,2.62,3.50,2.50,4.33,3.75,1.75,13.5,12.6,74.0,65.0,0.0,70.0,0.0,0.0,64.0,0.0,69.0,0.0,71.0,71.0,0.0,1
1.024,0.774,0.800,1.000,0,1.0,0,0.75,1.72,3.40,4.50,1.53,3.80,6.50,57.2,13.7,29.2,0.0,34.0,69.0,0.0,32.0,0.0,35.0,0.0,0.0,69.0,0.0,36.0,1
1.070,0.720,0.950,0.850,0,0.0,0,0.25,2.40,3.20,2.75,3.10,3.10,2.40,22.0,31.8,46.2,35.0,0.0,8.0,0.0,0.0,36.0,0.0,36.0,0.0,6.0,33.0,0.0,3
0.825,0.975,0.925,0.875,0.5,0,0.5,0,4.50,3.50,1.80,4.33,3.00,2.00,20.2,22.8,57.0,46.0,0.0,43.0,0.0,0.0,48.0,0.0,51.0,0.0,42.0,51.0,0.0,1
1.024,0.774,0.925,0.875,0,0.25,0,0.25,2.50,3.25,2.75,2.40,3.10,3.10,37.7,16.6,45.7,0.0,14.0,50.0,0.0,0.0,35.0,15.0,0.0,0.0,52.0,31.0,0.0,0
0.899,0.950,1.020,0.770,0,0.5,0,0.75,1.83,3.00,5.50,1.83,3.10,5.00,50.9,29.2,19.9,0.0,34.0,25.0,0.0,49.0,0.0,35.0,0.0,0.0,24.0,0.0,53.0,3
1.070,0.720,0.975,0.875,0,0.75,0,0.5,1.90,3.10,4.50,1.83,3.30,4.60,55.1,24.7,20.2,0.0,38.0,37.0,0.0,47.0,0.0,40.0,0.0,0.0,37.0,0.0,51.0,3
1.070,0.720,0.774,1.100,0,0.75,0,0.25,2.00,3.20,4.00,1.85,3.30,4.50,55.5,14.5,30.0,0.0,46.0,62.0,0.0,20.0,0.0,48.0,0.0,0.0,62.0,0.0,27.0,3
0.925,0.925,0.975,0.875,0,0.25,0,0.5,1.90,3.25,4.33,2.14,3.25,3.40,45.6,21.2,33.2,0.0,31.0,39.0,0.0,6.0,0.0,32.0,0.0,0.0,41.0,0.0,10.0,3
1.049,0.800,0.780,1.100,0.0,0.0,0.25,0,3.00,3.10,2.45,2.90,3.10,2.50,22.9,21.1,56.0,36.0,0.0,40.0,0.0,0.0,65.0,0.0,36.0,0.0,39.0,60.0,0.0,3
1.040,0.750,1.024,0.825,0.0,0.0,0,0.25,2.30,3.40,3.00,2.80,3.50,2.37,29.4,34.5,36.0,9.0,0.0,0.0,6.0,0.0,4.0,0.0,14.0,3.0,0.0,9.0,0.0,0
0.875,0.975,0.850,1.000,0,0.5,0,0.5,1.85,3.40,4.33,1.85,3.40,4.33,70.2,13.8,15.9,0.0,61.0,68.0,0.0,61.0,0.0,65.0,0.0,0.0,69.0,0.0,65.0,0
0.925,0.925,1.000,0.850,0,0.25,0,0.5,2.00,3.20,4.00,2.10,3.20,3.60,54.9,17.8,27.3,0.0,56.0,52.0,0.0,32.0,0.0,51.0,0.0,0.0,52.0,0.0,33.0,3
0.850,1.000,0.950,0.899,0.25,0,0.25,0,3.10,3.50,2.20,2.90,3.60,2.25,31.8,39.6,28.6,6.0,0.0,0.0,20.0,10.0,0.0,0.0,3.0,19.0,0.0,0.0,11.0,3
0.975,0.875,0.899,0.950,0,0.25,0,0.25,2.20,3.10,3.50,2.25,3.10,3.40,21.8,60.0,18.2,32.0,0.0,0.0,80.0,45.0,0.0,0.0,34.0,83.0,0.0,0.0,47.0,1
1.049,0.800,1.100,0.774,0,0.0,0,0.25,2.50,3.00,3.00,2.87,3.00,2.62,23.3,50.0,26.7,26.0,0.0,0.0,50.0,23.0,0.0,0.0,29.0,52.0,0.0,0.0,22.0,3
0.875,0.975,0.899,0.950,0,0.5,0,0.5,1.90,3.50,4.00,1.83,3.50,4.33,45.2,19.3,35.5,0.0,28.0,46.0,0.0,5.0,0.0,29.0,0.0,0.0,48.0,0.0,9.0,0
0.850,1.000,1.100,0.774,0,0.0,0,0.25,2.50,3.10,2.90,2.45,3.20,2.90,75.7,13.5,10.8,0.0,115.0,63.0,0.0,71.0,0.0,110.0,0.0,0.0,63.0,0.0,71.0,0
0.750,1.040,0.875,0.975,0.5,0,0.25,0,3.00,3.40,2.30,3.25,3.60,2.10,29.1,20.3,50.6,16.0,0.0,44.0,0.0,0.0,36.0,0.0,20.0,0.0,45.0,39.0,0.0,1
1.000,0.850,1.049,0.800,0,0.5,0,0.25,2.37,3.25,3.00,2.00,3.40,3.70,78.4,11.6,10.0,0.0,81.0,71.0,0.0,73.0,0.0,91.0,0.0,0.0,72.0,0.0,76.0,3
0.700,1.100,0.774,1.100,0,0.0,0.25,0.0,2.80,3.25,2.50,2.30,3.30,3.10,19.7,13.8,66.5,44.0,0.0,58.0,0.0,0.0,115.0,0.0,41.0,0.0,60.0,95.0,0.0,1
0.970,0.820,0.950,0.850,0.25,0.0,0,0.0,2.70,3.30,2.54,3.50,3.40,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.700,1.100,1.200,0.700,0,0.0,0,0.5,2.20,3.20,3.40,2.37,3.20,3.00,59.4,26.7,14.0,0.0,67.0,24.0,0.0,61.0,0.0,67.0,0.0,0.0,26.0,0.0,62.0,3
0.899,0.950,0.675,1.250,0,1.5,0,1.0,1.33,4.75,10.00,1.25,5.25,13.00,60.1,16.0,24.0,0.0,22.0,69.0,0.0,55.0,0.0,22.0,0.0,0.0,70.0,0.0,63.0,1
0.925,0.925,0.925,0.925,0,0.75,0,0.75,1.60,3.60,6.50,1.66,3.75,5.00,47.7,20.7,31.6,0.0,28.0,47.0,0.0,23.0,0.0,28.0,0.0,0.0,48.0,0.0,30.0,1
0.950,0.899,0.925,0.925,0,1.5,0,1.25,1.40,4.50,7.50,1.30,5.00,10.00,53.9,18.9,27.2,0.0,17.0,56.0,0.0,37.0,0.0,21.0,0.0,0.0,60.0,0.0,48.0,3
1.000,0.800,0.850,1.000,0,1.0,0,1.25,1.36,4.50,9.00,1.55,3.60,7.00,47.6,23.9,28.5,0.0,25.0,40.0,0.0,34.0,0.0,25.0,0.0,0.0,42.0,0.0,40.0,3
0.875,0.975,0.800,1.049,0,0.75,0,1.0,1.44,3.80,9.00,1.70,3.50,5.25,64.5,14.0,21.6,0.0,48.0,69.0,0.0,59.0,0.0,47.0,0.0,0.0,70.0,0.0,63.0,3
